Ref,Mid X,Mid Y,Rotation,Side
C1,59.793,-173.46,0,top
C2,75.048,-161.8975,-90,top
C3,60.448,-183.36,0,top
C4,94.7105,-189.16,0,top
C5,94.7105,-175.56,0,top
C6,67.794,-161.1653,90,top
C7,94.7105,-181.96,0,top
C8,53.8855,-196.76,180,top
C9,73.4605,-196.71,180,top
C10,60.4855,-191.96,0,top
C11,78.5105,-196.71,180,top
C12,48.4685,-182.35,0,top
C13,48.4685,-191.748,0,top
C14,87.248,-161.8975,-90,top
C15,14.248,-211.6725,-90,top
C16,103.2524,-142.3215,-90,top
C17,90.6605,-196.71,0,top
C18,80.24,-158.7015,-90,top
C19,60.6855,-167.46,180,top
C20,60.6855,-168.96,0,top
C21,60.448,-184.96,0,top
C22,59.2605,-186.56,0,top
C23,115.927,-156.0585,90,top
C24,100.4065,-155.537,0,top
C25,84.598,-196.71,180,top
C26,94.733,-170.76,0,top
C27,84.1008,-126.0147,90,top
C28,60.8852,-126.0147,90,top
C29,60.9868,-142.3215,-90,top
C30,55.5512,-126.0139,90,top
C31,56.7704,-142.3215,-90,top
C32,72.4676,-126.0147,90,top
C33,84.1516,-142.3215,-90,top
C34,101.9316,-126.0147,90,top
C35,72.5184,-142.3215,-90,top
C36,18.618,-211.6725,-90,top
C37,23.118,-211.6725,-90,top
C38,12.5855,-223.66,0,top
C39,17.2105,-223.66,0,top
C40,21.8105,-223.66,0,top
C41,31.118,-211.6725,-90,top
C42,35.718,-211.6725,-90,top
C43,40.318,-211.6725,-90,top
C44,29.7105,-223.66,0,top
C45,34.3105,-223.66,0,top
C46,38.9105,-223.66,0,top
C57,125.435,-195.554,90,top
C58,146.08,-202.279,90,top
C59,128.505,-195.829,0,top
C60,148.5388,-191.909,0,top
C61,148.5388,-194.969,0,top
C62,148.5388,-197.509,0,top
C63,126.2405,-182.858,180,top
C64,148.488,-189.889,180,top
C65,148.488,-187.349,180,top
C66,135.797,-148.627,90,top
C67,133.022,-144.602,90,top
C68,133.097,-163.302,90,top
C69,135.797,-159.477,90,top
C70,135.872,-163.302,90,top
C71,133.072,-159.477,90,top
C73,126.822,-167.902,180,top
C74,122.722,-165.202,0,top
C75,147.586,-166.252,180,top
C76,133.022,-148.627,90,top
C77,135.797,-144.627,90,top
C79,126.822,-153.702,180,top
C80,122.622,-151.302,0,top
C81,147.586,-151.952,180,top
C82,35.6376,-126.0147,90,top
C83,44.0704,-142.3215,-90,top
C84,117.832,-137.312,90,top
C85,114.517,-141.71,0,top
C86,113.755,-136.122,0,top
D1,39.248,-236.835,90,top
D2,16.248,-236.735,90,top
D3,27.648,-236.785,90,top
D4,50.818,-236.785,90,top
D5,62.248,-236.785,90,top
D6,73.678,-236.785,90,top
D7,85.108,-236.785,90,top
D8,96.538,-236.785,90,top
D9,107.968,-236.785,90,top
D10,119.398,-236.785,90,top
D11,130.828,-236.785,90,top
D12,13.9206,-160.2774,-90,top
D13,37.568,-163.427,-90,top
D14,32.9442,-155.56,0,top
D15,23.623,-155.56,0,top
D16,115.029,-124.438,180,top
D17,115.029,-129.328,180,top
D18,145.264,-125.042,-90,top
D19,145.264,-132.312,-90,top
D20,117.841,-168.38,0,top
FB1,110.974,-139.1445,90,top
IC1,138.312,-193.054,0,top
IC2,123.897,-159.077,180,top
IC3,123.797,-145.602,180,top
L1,127.765,-190.654,-90,top
L2,141.995,-202.294,0,top
Q1,18.8736,-158.1184,-90,top
Q2,129.516,-124.463,0,top
Q3,129.516,-133.074,0,top
R1,49.2012,-126.0147,90,top
R2,45.831334,-226.735,-90,top
R3,54.048,-198.76,0,top
R4,57.2355,-162.06,0,top
R5,46.388,-211.6725,90,top
R6,48.464667,-226.735,-90,top
R7,48.818,-211.6725,90,top
R8,51.098,-226.835,90,top
R9,51.318,-211.6725,90,top
R10,53.748,-226.81,-90,top
R11,53.948,-211.6725,90,top
R12,24.770855,-226.8225,-90,top
R13,25.018,-211.6725,90,top
R14,11.438,-226.8225,-90,top
R15,15.882285,-226.8225,-90,top
R16,20.32657,-226.8225,-90,top
R17,42.548,-226.7225,-90,top
R18,42.208,-211.6725,90,top
R19,29.21514,-226.8225,-90,top
R20,33.659425,-226.8225,-90,top
R21,38.10371,-226.8225,-90,top
R22,35.536,-163.2675,90,top
R23,21.058,-164.189,180,top
R24,21.058,-161.776,0,top
R25,32.9217,-157.41,180,top
R26,23.6005,-157.71,180,top
R27,140.586,-176.1875,-90,top
R28,56.416,-226.822,-90,top
R29,57.432,-211.7363,90,top
R30,58.956,-226.822,-90,top
R31,59.972,-211.7363,90,top
R32,61.496,-226.822,-90,top
R33,62.512,-211.7363,90,top
R34,64.036,-226.822,-90,top
