Ref,Mid X,Mid Y,Rotation,Side
C1,59.793,78,0,top
C2,75.048,89.5625,-90,top
C3,60.448,68.1,0,top
C4,94.7105,62.3,0,top
C5,95.9115,75.9,0,top
C6,67.794,90.2947,90,top
C7,94.7105,69.5,0,top
C8,53.8855,54.7,180,top
C9,73.4605,54.75,180,top
C10,60.4855,59.5,0,top
C11,78.5105,54.75,180,top
C12,48.4685,69.11,0,top
C13,48.4685,59.712,0,top
C14,87.248,89.5625,-90,top
C15,14.248,39.7875,-90,top
C16,103.2524,109.1385,-90,top
C17,90.6605,54.75,0,top
C18,80.24,92.7585,-90,top
C19,60.6855,84,180,top
C20,60.6855,82.5,0,top
C21,60.448,66.5,0,top
C22,59.2605,64.9,0,top
C23,115.927,95.4015,90,top
C24,100.4065,95.923,0,top
C25,84.598,54.75,180,top
C26,94.733,80.7,0,top
C27,84.1008,125.4453,90,top
C28,60.8852,125.4453,90,top
C29,60.9868,109.1385,-90,top
C30,55.5512,125.4461,90,top
C31,56.7704,109.1385,-90,top
C32,72.4676,125.4453,90,top
C33,84.1516,109.1385,-90,top
C34,101.9316,125.4453,90,top
C35,72.5184,109.1385,-90,top
C36,18.618,39.7875,-90,top
C37,23.118,39.7875,-90,top
C38,12.5855,27.8,0,top
C39,17.2105,27.8,0,top
C40,21.8105,27.8,0,top
C41,31.118,39.7875,-90,top
C42,35.718,39.7875,-90,top
C43,40.318,39.7875,-90,top
C44,29.7105,27.8,0,top
C45,34.3105,27.8,0,top
C46,38.9105,27.8,0,top
C57,113.364,59.502,90,top
C58,139.941,56.388,0,top
C59,116.434,59.281,0,top
C60,133.855,61.214,0,top
C61,133.855,57.312,0,top
C62,133.855,54.772,0,top
C63,126.2405,70.442,180,top
C64,133.8042,63.234,0,top
C65,133.8042,64.932,180,top
C66,135.797,102.833,90,top
C67,133.022,106.858,90,top
C68,133.097,88.158,90,top
C69,135.797,91.983,90,top
C70,135.872,88.158,90,top
C71,133.072,91.983,90,top
C73,126.822,83.558,180,top
C74,122.722,86.258,0,top
C75,147.586,85.208,180,top
C76,133.022,102.833,90,top
C77,135.797,106.833,90,top
C79,126.822,97.758,180,top
C80,122.622,100.158,0,top
C81,147.586,99.508,180,top
C82,35.6376,125.4453,90,top
C83,44.0704,109.1385,-90,top
C84,117.832,114.148,90,top
C85,114.517,109.75,0,top
C86,113.755,115.338,0,top
D1,39.248,14.625,90,top
D2,16.248,14.725,90,top
D3,27.648,14.675,90,top
D4,50.818,14.675,90,top
D5,62.248,14.675,90,top
D6,73.678,14.675,90,top
D7,85.108,14.675,90,top
D8,96.538,14.675,90,top
D9,107.968,14.675,90,top
D10,119.398,14.675,90,top
D11,130.828,14.675,90,top
D12,13.9206,91.1826,-90,top
D13,37.568,88.033,-90,top
D14,32.9442,95.9,0,top
D15,23.623,95.9,0,top
D16,115.029,127.022,180,top
D17,115.029,122.132,180,top
D18,145.264,126.418,-90,top
D19,145.264,119.148,-90,top
D20,117.841,83.08,0,top
FB1,110.974,112.3155,90,top
IC1,126.238,59.182,0,top
IC2,123.897,92.383,180,top
IC3,123.797,105.858,0,top
L1,115.694,64.456,-90,top
L2,138.046,53.594,0,top
Q1,18.8736,93.3416,-90,top
Q2,129.516,126.997,0,top
Q3,129.516,118.386,0,top
R1,49.2012,125.4453,90,top
R2,45.831334,24.725,-90,top
R3,54.048,52.7,0,top
R4,57.2355,89.4,0,top
R5,46.388,39.7875,90,top
R6,48.464667,24.725,-90,top
R7,48.818,39.7875,90,top
R8,51.098,24.625,90,top
R9,51.318,39.7875,90,top
R10,53.748,24.65,-90,top
R11,53.948,39.7875,90,top
R12,24.770855,24.6375,-90,top
R13,25.018,39.7875,90,top
R14,11.438,24.6375,-90,top
R15,15.882285,24.6375,-90,top
R16,20.32657,24.6375,-90,top
R17,42.548,24.7375,-90,top
R18,42.208,39.7875,90,top
R19,29.21514,24.6375,-90,top
R20,33.659425,24.6375,-90,top
R21,38.10371,24.6375,-90,top
R22,35.536,88.1925,90,top
R23,21.058,87.271,180,top
