"Id";"지정자";"풋프린트";"수량";"지정";"공급자와 참조";
1;"Y1";"HC-49SMD";1;"Crystal";;;
2;"PS1";"NXJ1S0303MCR13";1;"NXJ1S0303MC-R13";;;
3;"IC1";"SOIC127P1032X265-20N";1;"ADM3251EARWZ";;;
4;"H3,H1,H5,H4,H2";"MountingHole_3.2mm_M3";5;"MountingHole";;;
5;"X2";"sunny-sco-10";1;"TXC-7C";;;
6;"R115,R122,R113,R124";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"113K";;;
7;"R116,R118,R119,R125,R126,R117,R128,R127";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";8;"100";;;
8;"J23,J17";"Molex_SPOX_5267-05A_1x05_P2.50mm_Vertical";2;"EN7";;;
9;"R48,R54,R80,R12,R46,R60,R76,R98,R16,R66,R62,R44,R21,R50,R133,R145,R30,R82,R134,R68,R86,R17,R15,R78,R58,R147,R70,R92,R32,R2,R137,R94,R10,R28,R42,R6,R8,R155,R84,R40,R96,R74,R56,R38,R72,R139,R153,R36,R157,R88,R141,R64,R151,R52,R149,R159,R90,R14,R34,R19,R20,R143";"R_1206_3216Metric";62;"1.2k";;;
10;"J28,J26,J24,J25,J27,J18";"Molex_SPOX_5267-03A_1x03_P2.50mm_Vertical";6;"H7";;;
11;"U45,U43";"SOIC-8_3.9x4.9mm_P1.27mm";2;"AD8606ARZ";;;
12;"C77,C67,C76,C68,C65,C79,C69,C66,C59,C71,C75,C81,C73,C70";"C_0603_1608Metric";14;"0.1uF";;;
13;"U26,U29,U28,U25,U24,U27,U44,U35,U52,U22,U23";"TMC5160-ADT";11;"~";;;
14;"C43,C82,C35,C27,C36,C21,C20,C18,C29,C42,C9,C4,C34,C33,C2,C37,C1,C10,C30,C41,C7,C6,C3,C14,C8,C11,C31,C32,C28,C5,C83,C15,C16,C24,C23,C17";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";36;"0.1uF";;;
15;"J60,J66,J67,J9,J50";"Molex_SPOX_5267-05A_1x05_P2.50mm_Vertical";5;"EN3";;;
